id,cloud provider,Total Ram,Total CPU,Total Disk Space (GB),Cpu Utilization,Network Latency (milliseconds),Cost Per Year ($),Average IOPS,classification
1,GCP,2,1,8,87.75,131,202.8,881,overutilized
2,On-prem,1,1,8,96.18,77,130.4,824,overutilized
3,On-prem,8,1,8,85.28,198,356.2,1051,overutilized
4,GCP,32,16,16,77.12,67,2032,1019,optimal
5,AWS,4,2,8,59.1,94,324,804,underutilized
6,GCP,4,1,8,63.22,50,283,770,optimal
7,On-prem,64,16,32,68.96,107,2660.4,1292,optimal
8,GCP,16,8,16,80.11,109,1060.8,1053,overutilized
9,AWS,4,2,8,92.22,78,324.6,696,overutilized
10,On-prem,64,16,32,43.51,287,2659.6,1436,overutilized
11,GCP,32,16,16,55.46,43,2026.2,1299,underutilized
12,GCP,32,16,16,44.31,76,2023,1288,underutilized
13,GCP,2,1,8,76.26,56,203.2,940,optimal
14,AWS,1,1,8,82.63,41,163,649,overutilized
15,AWS,64,16,32,97.66,128,3340.8,1755,overutilized
16,AWS,1,1,8,41.58,131,162.8,903,underutilized
17,AWS,8,1,8,84.83,89,444.6,942,overutilized
18,AWS,16,8,16,75.67,117,1052.2,1090,optimal
19,GCP,16,8,16,80.76,126,1059.4,843,overutilized
20,GCP,64,16,32,90.1,111,3344.8,1208,overutilized
21,AWS,64,16,32,45.96,47,3344,1337,underutilized
22,On-prem,64,16,32,60.03,102,2667.6,1213,optimal
23,AWS,16,8,16,73.47,65,1058,804,optimal
24,AWS,8,2,8,61.44,84,485.4,934,optimal
25,On-prem,16,4,16,82.77,122,715,1150,overutilized
26,GCP,1,1,8,89.86,136,162.8,746,overutilized
27,AWS,2,1,8,60.9,51,203.8,727,optimal
28,GCP,64,16,32,84.39,82,3328,1561,overutilized
29,AWS,8,2,8,63.29,119,487.8,893,optimal
30,On-prem,16,8,16,97.13,236,848.4,1113,overutilized
31,GCP,1,1,8,55.84,135,162.4,729,underutilized
32,GCP,2,1,8,52.53,114,203.2,785,underutilized
33,AWS,1,1,8,59.59,97,162,828,underutilized
34,AWS,64,16,32,79.22,116,3323.8,1725,overutilized
35,GCP,16,4,16,53.54,56,889.2,951,underutilized
36,On-prem,1,1,8,65.12,214,129.6,737,optimal
37,AWS,2,1,8,57.65,66,203.6,785,underutilized
38,GCP,16,4,16,73.89,78,890.4,950,optimal
39,GCP,4,1,8,66.21,72,285.2,948,optimal
40,GCP,8,1,8,61.64,124,444.8,842,optimal
41,AWS,8,1,8,63.55,101,445,973,optimal
42,AWS,16,8,16,82.28,43,1059,1079,overutilized
43,AWS,64,16,32,80.7,61,3316,1353,overutilized
44,On-prem,16,4,16,64.88,188,715,926,optimal
45,On-prem,8,1,8,97.49,96,356.2,814,overutilized
46,AWS,2,1,8,97.01,126,203,798,overutilized
47,GCP,1,1,8,93.53,90,161.6,855,overutilized
48,GCP,64,16,32,51.87,99,3319,1274,underutilized
49,AWS,4,1,8,72.43,99,283.6,684,optimal
50,GCP,16,4,16,82.56,107,890,1088,overutilized
51,GCP,2,1,8,79.25,57,203.4,750,optimal
52,AWS,2,1,8,87.17,129,203,686,overutilized
53,AWS,8,2,8,75.56,55,489,852,optimal
54,AWS,32,16,16,72.16,89,2021.8,1211,optimal
55,On-prem,16,4,16,68.91,108,715.8,821,optimal
56,AWS,16,8,16,97.01,56,1052.8,892,overutilized
57,On-prem,8,1,8,52.67,53,358.4,706,underutilized
58,GCP,1,1,8,54.46,131,162.2,761,underutilized
59,GCP,16,8,16,47.66,142,1054.4,986,overutilized
60,AWS,16,4,16,41.07,80,893.8,896,underutilized
61,AWS,1,1,8,52.6,85,162.2,944,underutilized
62,AWS,32,16,16,55.84,144,2036.8,1064,overutilized
63,AWS,64,16,32,41.39,88,3314.8,1717,overutilized
64,AWS,64,16,32,53.12,100,3334.4,1467,underutilized
65,GCP,32,16,16,70.17,49,2033,1078,optimal
66,AWS,32,16,16,51.44,109,2036.2,1235,underutilized
